ACCOUNTID,RENEW,INTERCEPT,PLAYOFF,TENURE,OPENSNINETY,NOTES,TICKETSPEND,LIFETIMEMERCHSPEND,MISSEDALL,TENDUMMY,DISTANCE,PAWP,EMAILCATEGORIES,CATEGORYDUMMY,MISSEDREG,LOGINS,CLICKS90,PAWP,RAND
355952,1,1,1,8,2,0,3960,0,1,1,62,1,2,1,0,0,1,1,0.002939272
345634,1,1,1,7,3,0,2340,0,0,1,107,1,3,1,0,0,4,1,0.002944716
320708,1,1,1,8,0,0,4680,0,0,1,85,0,2,1,0,0,1,0,0.002947123
101719,1,1,1,9,5,0,1690,0,0,1,22,1,3,1,0,0,4,1,0.003123899
283703,1,1,1,9,2,0,7280,0,0,1,30,1,4,1,0,3,2,1,0.003137183
440575,1,1,1,9,2,1,2340,0,2,1,21,0,3,1,1,40,3,0,0.0031569
4044180,1,1,1,5,3,1,3380,0,1,1,7,1,4,1,0,0,1,1,0.003185061
123345,1,1,1,9,1,0,5400,0,0,1,16,1,1,0,0,0,2,1,0.00322659
407201,1,1,1,5,2,0,3560,107.49,0,1,45,0,4,1,0,0,5,0,0.003241377
4044206,1,1,1,5,4,0,2700,0,1,1,17,0,4,1,0,66,13,0,0.003281114
472704,1,1,1,3,7,0,3560,0,0,1,25,1,4,1,0,100,6,1,0.003330172
402207,1,1,1,5,4,0,3560,0,0,1,17,1,4,1,0,0,2,1,0.003369842
454827,1,1,1,4,2,0,3560,0,1,1,106,0,4,1,0,12,1,0,0.00352307
4210682,1,1,1,5,1,0,3900,109.81,0,1,31,1,5,1,0,0,2,1,0.003582356
4217786,1,1,1,5,2,0,2700,0,1,1,38,0,2,1,0,0,3,0,0.003656218
165035,1,1,0,9,1,0,2700,0,0,1,88,0,3,1,0,0,2,0,0.003671594
230672,1,1,1,9,8,1,1170,0,1,1,101,0,5,1,0,0,8,0,0.003687995
182657,1,1,1,9,8,0,2340,0,1,1,69,1,3,1,0,0,10,1,0.003725103
444843,1,1,1,5,0,0,4680,89.47,1,1,22,0,3,1,0,0,6,0,0.003734578
234610,1,1,1,9,2,0,3380,0,1,1,19,1,3,1,0,0,1,1,0.004167871
209673,1,1,1,9,0,0,1350,0,0,1,17,0,2,1,0,0,0,0,0.004285679
149569,1,1,1,9,4,0,5400,0,1,1,55,0,5,1,0,0,6,0,0.004386532
423470,1,1,1,6,6,0,1980,0,0,1,47,1,11,1,0,18,6,1,0.004450407
426011,1,1,1,5,4,1,2340,0,1,1,24,0,4,1,0,0,7,0,0.004497173
419752,1,1,1,5,4,0,1780,0,2,1,24,1,7,1,0,0,7,1,0.004524
285232,1,1,1,9,0,0,5400,0,1,1,24,0,1,0,0,1,0,0,0.004593543
161724,1,1,1,9,1,0,2340,0,0,1,36,0,4,1,0,0,1,0,0.004622791
189444,1,1,1,9,2,0,2700,0,1,1,236,0,1,0,0,13,5,0,0.004634224
116041,1,1,1,9,3,0,3380,0,2,1,21,1,2,1,1,0,3,1,0.004652915
207594,1,1,0,9,0,0,1350,0,0,1,552,0,1,0,0,0,0,0,0.004676028
103897,1,1,1,9,0,0,16900,0,1,1,20,0,14,1,0,0,0,0,0.004700647
274683,1,1,1,9,6,0,1300,0,0,1,11,1,10,1,0,0,8,1,0.004874901
346811,1,1,1,5,1,0,1980,50.89,1,1,119,0,3,1,1,0,1,0,0.005024422
148084,1,1,1,9,0,0,2340,0,2,1,67,1,4,1,1,0,1,1,0.00509322
299422,1,1,1,8,8,0,4050,0,0,1,80,1,8,1,0,0,11,1,0.005099551
181315,1,1,1,9,1,0,2340,0,0,1,3,0,2,1,0,0,5,0,0.005237168
278104,1,1,0,9,0,0,2340,0,0,1,18,0,8,1,0,0,0,0,0.005322202
160063,1,1,1,9,8,0,8100,127.45,0,1,17,0,3,1,0,0,4,0,0.005349961
2024587,1,1,1,5,0,0,2700,0,0,1,6,1,3,1,0,0,5,1,0.005505312
268380,1,1,1,9,2,0,2340,0,1,1,32,1,1,0,0,85,2,1,0.005507088
279864,1,1,0,9,3,0,1300,0,0,1,1092,0,2,1,0,0,4,0,0.0055203
147886,1,1,1,9,2,0,4680,0,1,1,22,0,1,0,1,0,0,0,0.00559854
170535,1,1,1,9,3,0,5400,0,0,1,12,1,4,1,0,0,6,1,0.005655862
238845,1,1,1,9,0,1,4680,0,0,1,19,1,1,0,0,0,0,1,0.005676222
125765,0,1,1,9,0,1,3380,0,0,1,21,1,14,1,0,0,0,1,0.005749511
337659,1,1,1,10,3,1,4680,0,1,1,79,1,5,1,0,0,4,1,0.005800445
181678,1,1,1,9,1,0,4680,0,0,1,12,1,4,1,0,0,6,1,0.005812963
218022,1,1,1,9,0,0,3250,0,0,1,28,0,1,0,0,0,0,0,0.005879949
472720,1,1,1,4,0,0,1780,0,1,1,30,0,5,1,1,0,0,0,0.005914428
232223,1,1,1,9,2,0,3560,0,0,1,55,1,5,1,0,3,10,1,0.005927687
175672,1,1,1,9,0,0,3960,0,1,1,15,0,2,1,0,0,0,0,0.005963437
224006,1,1,1,9,7,0,1170,0,0,1,9,0,3,1,0,165,2,0,0.006052855
4021212,1,1,1,5,0,0,7800,0,0,1,6,0,1,0,0,0,1,0,0.006094853
187233,1,1,1,9,2,0,2700,0,0,1,24,0,4,1,0,1,1,0,0.006131606
448837,1,1,1,4,8,0,3560,117.4,1,1,22,1,5,1,0,0,13,1,0.006168951
283252,1,1,1,9,1,0,15600,0,0,1,19,0,2,1,0,0,1,0,0.006197381
5696690,1,1,0,2,5,1,4680,0,0,0,55,0,5,1,0,0,7,0,0.006250471
227757,1,1,0,9,0,0,5070,0,0,1,13,0,3,1,0,0,0,0,0.006255185
157489,1,1,1,9,1,0,6760,0,0,1,74,0,8,1,0,0,2,0,0.006262839
454892,1,1,0,4,4,0,1780,0,1,1,42,0,4,1,1,0,7,0,0.006344009
4204511,1,1,1,5,4,0,4050,0,0,1,51,1,8,1,0,7,13,1,0.00654064
167510,1,1,0,9,2,0,2700,0,1,1,31,0,1,0,1,0,1,0,0.006617485
273605,1,1,1,9,0,0,2340,0,0,1,57,1,4,1,0,0,0,1,0.006752302
109958,1,1,1,9,0,0,15600,0,0,1,16,1,1,0,0,0,0,1,0.00677077
169369,1,1,1,9,0,0,2700,0,0,1,43,1,2,1,0,0,2,1,0.006873042
156543,1,1,1,9,0,0,5400,0,1,1,75,0,2,1,0,0,0,0,0.006894921
5696567,1,1,1,2,1,0,3900,0,0,0,35,0,2,1,0,0,3,0,0.006895216
277015,1,1,1,9,0,0,1300,0,1,1,13,0,3,1,0,0,3,0,0.006895899
296991,1,1,1,9,0,0,9300,0,0,1,11,0,5,1,0,0,5,0,0.00691607
215371,1,1,1,9,2,0,5400,0,2,1,38,1,3,1,0,0,17,1,0.00693177
283296,1,1,1,9,1,0,3900,0,1,1,5,0,5,1,0,0,3,0,0.006976589
5703298,1,1,1,2,2,0,1780,0,0,0,22,1,4,1,0,0,3,1,0.006981345
4220145,1,1,0,5,0,0,3900,0,0,1,36,0,1,0,0,0,0,0,0.007000263
114677,1,1,1,9,1,0,6760,0,0,1,167,1,1,0,0,0,1,1,0.007132197
4214833,1,1,1,5,1,0,5400,0,0,1,14,0,2,1,0,0,2,0,0.007177433
4210575,1,1,1,5,1,0,1980,0,0,1,787,1,3,1,0,0,0,1,0.00724441
215470,1,1,1,9,0,0,5400,0,0,1,51,1,5,1,0,0,1,1,0.007342912
217120,1,1,1,9,7,0,4050,0,0,1,114,0,4,1,0,0,4,0,0.007372861
288400,1,1,1,9,1,0,3900,0,1,1,649,1,2,1,0,0,0,1,0.007429817
217494,1,1,1,9,0,0,9360,0,0,1,20,0,4,1,0,0,2,0,0.007451053
225348,1,1,1,9,4,0,2340,0,1,1,36,0,1,0,0,0,19,0,0.00749248
164782,1,1,1,9,1,0,15210,0,0,1,11,0,3,1,0,65,0,0,0.007582328
317914,1,1,1,9,6,0,2700,0,1,1,65,1,3,1,0,0,4,1,0.007725181
5748772,1,1,0,2,1,0,1980,0,1,0,59,0,1,0,1,0,0,0,0.007740818
5150458,1,1,1,3,1,0,7800,0,0,1,14,1,3,1,0,0,3,1,0.007745995
184329,1,1,1,9,3,0,9750,0,0,1,103,1,2,1,0,0,5,1,0.007830664
386235,1,1,1,3,10,1,1780,0,0,1,616,1,6,1,0,0,5,1,0.007862497
5156802,1,1,1,3,2,0,2340,0,0,1,6,0,7,1,0,95,2,0,0.007909899
424196,1,1,1,4,0,0,2600,0,0,1,11,1,3,1,0,0,1,1,0.007916402
379580,1,1,1,9,8,0,1780,0,0,1,8,0,8,1,0,0,17,0,0.008003302
175089,0,1,1,9,0,1,4050,0,0,1,17,0,1,0,0,0,1,0,0.008108563
190258,1,1,1,9,2,0,4680,0,0,1,22,0,2,1,0,0,0,0,0.008117281
252760,1,1,1,9,0,0,4680,0,0,1,30,0,1,0,0,0,0,0,0.008171898
165607,1,1,1,9,1,0,3380,0,1,1,18,1,3,1,0,0,0,1,0.008253081
246512,1,1,1,9,1,0,2340,0,2,1,77,0,3,1,2,0,4,0,0.008317694
280480,1,1,1,9,2,0,2340,0,0,1,32,0,2,1,0,0,3,0,0.008356492
374311,1,1,1,10,2,0,3960,0,0,1,66,1,3,1,0,3,4,1,0.008391349
473629,1,1,1,3,3,0,3560,0,1,1,16,0,6,1,0,22,3,0,0.008430443
4223396,1,1,1,5,6,0,4050,0,1,1,92,0,2,1,0,0,10,0,0.008501744
3730498,1,1,1,4,4,0,2700,0,0,1,58,1,3,1,0,0,5,1,0.008600399
4570903,1,1,1,4,0,0,3380,0,1,1,5,0,2,1,1,0,0,0,0.008818801
206923,1,1,1,9,3,0,2340,0,0,1,17,0,1,0,0,0,2,0,0.00902727
123708,1,1,1,9,0,0,9750,0,2,1,40,1,2,1,1,0,2,1,0.009209236
118978,1,1,1,9,0,0,1780,0,3,1,145,0,1,0,1,0,0,0,0.009223759
203381,1,1,1,9,8,0,16200,0,0,1,70,1,7,1,0,17,2,1,0.00923142
406255,1,1,1,5,9,0,6760,0,0,1,48,0,5,1,0,0,11,0,0.009364875
4613547,1,1,1,3,1,0,4680,0,0,1,31,1,3,1,0,0,4,1,0.009411104
4045799,1,1,1,5,6,0,2700,40.99,1,1,79,0,6,1,0,0,11,0,0.009417168
4226688,1,1,1,5,0,0,1170,0,1,1,4,1,3,1,0,0,0,1,0.00943867
4233122,1,1,1,5,0,0,6600,0,0,1,17,0,6,1,0,0,3,0,0.009479713
434734,1,1,0,6,1,0,1980,0,0,1,47,0,4,1,0,0,2,0,0.009496842
196660,1,1,1,9,0,1,2340,133.44,1,1,44,1,3,1,0,0,5,1,0.009626306
174363,1,1,1,9,1,0,7920,0,0,1,13,1,4,1,0,20,3,1,0.009697648
149800,1,1,1,9,8,0,5400,0,0,1,7,0,3,1,0,0,35,0,0.009813586
447307,1,1,1,3,2,0,2600,0,0,1,1698,1,1,0,0,0,2,1,0.009892272
148623,1,1,1,9,0,0,4680,0,0,1,21,0,4,1,0,0,0,0,0.009963733
439420,1,1,1,4,3,0,1300,0,2,1,19,0,3,1,0,0,5,0,0.010049405
388193,1,1,1,6,1,0,3960,0,0,1,16,0,1,0,0,1,1,0,0.010115056
385003,0,1,1,5,3,1,1780,0,1,1,1016,0,3,1,0,0,2,0,0.010163659
205185,1,1,1,8,2,0,2700,0,2,1,477,0,2,1,0,0,2,0,0.0102082
164034,1,1,1,9,0,0,5400,0,0,1,129,0,3,1,0,0,0,0,0.010219943
111399,1,1,1,9,3,0,1980,0,0,1,1755,1,5,1,0,0,2,1,0.010319641
233213,1,1,1,9,2,0,1780,232.91,1,1,55,1,3,1,0,0,6,1,0.010326482
252584,1,1,0,9,0,0,2700,0,0,1,11,0,4,1,0,0,0,0,0.010377337
437550,1,1,1,5,3,0,1780,152.43,2,1,180,0,4,1,0,0,7,0,0.010432905
4552646,1,1,1,4,5,0,3380,0,0,1,19,1,2,1,0,0,2,1,0.010488033
211906,1,1,1,9,3,0,4680,0,0,1,39,0,3,1,0,0,4,0,0.010568122
439453,1,1,1,5,2,0,1980,0,0,1,140,0,6,1,0,0,4,0,0.01057785
415924,1,1,1,3,2,0,1300,0,1,1,14,1,2,1,0,0,0,1,0.010659221
445316,1,1,1,5,4,0,3560,0,5,1,22,0,2,1,3,0,4,0,0.010681959
261439,1,1,1,9,3,1,4680,0,1,1,25,0,3,1,0,0,1,0,0.010864643
207957,1,1,0,9,0,0,6760,0,5,1,19,0,1,0,3,0,0,0,0.011061609
175573,1,1,1,9,4,0,3960,0,0,1,18,0,2,1,0,3,9,0,0.01106494
340409,1,1,1,9,3,0,2700,0,1,1,97,1,3,1,0,0,4,1,0.011093116
223225,1,1,0,9,9,0,1950,0,2,1,8,0,5,1,1,0,10,0,0.011136616
1996458,1,1,1,5,3,0,3900,0,0,1,7,1,3,1,0,0,5,1,0.011176746
371726,1,1,1,7,5,0,3380,45.99,0,1,32,1,3,1,0,165,11,1,0.011258048
183185,1,1,1,9,1,2,5340,0,0,1,19,1,1,0,0,8,0,1,0.011286801
285815,1,1,1,9,2,0,7800,0,0,1,23,1,4,1,0,0,2,1,0.011303443
574533,1,1,1,9,3,0,1350,0,3,1,48,0,4,1,1,0,1,0,0.011326688
317034,1,1,1,4,0,0,1980,0,0,1,2558,0,2,1,0,0,0,0,0.01136366
4224824,1,1,1,5,6,0,5400,279.93,0,1,50,0,4,1,0,0,8,0,0.011376359
103149,1,1,1,9,0,0,2700,0,0,1,27,0,2,1,0,0,2,0,0.011562918
374520,1,1,1,9,1,0,2700,0,1,1,35,0,2,1,0,0,1,0,0.0115959
214579,1,1,0,9,1,0,2700,0,4,1,169,0,1,0,3,0,2,0,0.011702363
197034,1,1,1,9,0,0,2700,0,1,1,139,0,2,1,1,0,0,0,0.011798034
204503,1,1,1,9,0,0,6750,0,0,1,4,0,2,1,0,1,1,0,0.011812937
248107,1,1,1,9,2,0,5400,0,0,1,17,0,1,0,0,0,0,0,0.011874474
189972,1,1,1,9,3,0,3960,100.46,0,1,52,0,6,1,0,0,4,0,0.011921441
153221,1,1,1,9,0,0,2340,0,0,1,49,1,3,1,0,0,3,1,0.011946259
411249,1,1,1,6,6,0,3560,0,0,1,18,1,5,1,0,34,9,1,0.012061139
200884,1,1,1,9,4,2,1300,0,1,1,5,0,5,1,0,1,15,0,0.012062693
198013,1,1,1,9,0,0,4680,0,0,1,48,1,6,1,0,0,0,1,0.012116555
4029702,1,1,1,5,0,0,2340,0,0,1,40,0,14,1,0,1,0,0,0.012118633
285188,1,1,1,9,0,0,7800,0,0,1,2,0,2,1,0,0,0,0,0.012158381
185660,1,1,1,9,1,0,4680,0,0,1,68,0,3,1,0,0,14,0,0.012203661
4214759,1,1,1,5,1,0,3380,0,0,1,44,0,4,1,0,26,0,0,0.012264553
406475,1,1,1,6,0,0,1980,0,0,1,54,0,4,1,0,0,4,0,0.012341095
239879,1,1,1,9,0,0,7020,0,0,1,37,1,2,1,0,0,0,1,0.012434938
432017,1,1,1,6,5,0,2340,0,0,1,81,1,5,1,0,0,2,1,0.012438331
4223628,1,1,1,5,3,0,890,0,1,1,14,1,1,0,1,0,3,1,0.012454754
229737,1,1,0,9,0,0,2700,0,1,1,23,0,2,1,1,0,0,0,0.012612156
250362,1,1,1,9,0,0,7800,0,0,1,20,0,1,0,0,0,0,0,0.012645822
143277,1,1,1,9,1,0,2700,0,0,1,19,0,4,1,0,2,1,0,0.012702836
426330,1,1,1,5,3,0,2700,0,1,1,6,0,2,1,0,0,4,0,0.012715077
233081,1,1,1,9,0,0,5400,0,0,1,66,0,1,0,0,0,1,0,0.012789163
112862,1,1,1,9,3,0,1980,0,0,1,0,1,3,1,0,0,0,1,0.012844072
186452,1,1,1,9,0,0,4050,0,0,1,18,1,4,1,0,0,1,1,0.01288851
376863,1,1,1,6,3,0,1780,0,2,1,63,0,5,1,0,0,5,0,0.012914096
120595,1,1,1,9,0,0,3380,0,0,1,56,0,2,1,0,0,0,0,0.012983379
258920,1,1,0,9,8,0,1300,148.38,1,1,16,0,11,1,0,15,9,0,0.013264771
6571331,1,1,1,1,3,0,3380,0,0,0,43,0,2,1,0,0,4,0,0.013368706
264068,1,1,1,9,1,0,2700,0,0,1,26,0,4,1,0,0,1,0,0.013410267
298333,1,1,1,9,0,0,1980,0,2,1,53,0,4,1,0,0,0,0,0.01343731
256786,1,1,1,9,1,0,3960,0,1,1,35,1,3,1,0,0,4,1,0.013465442
6567933,1,1,1,1,0,0,2340,0,0,0,34,1,2,1,0,36,0,1,0.013502285
245049,1,1,1,9,5,0,2340,0,0,1,62,0,2,1,0,0,7,0,0.013537631
180259,1,1,1,9,0,0,5400,0,1,1,23,1,2,1,0,0,0,1,0.013594879
1596916,1,1,1,10,0,0,5400,0,0,1,62,0,1,0,0,0,0,0,0.013600637
187706,1,1,1,9,0,0,6500,0,0,1,66,0,2,1,0,0,1,0,0.013731953
4216572,1,1,1,5,2,0,7800,0,2,1,38,0,1,0,0,0,1,0,0.013778841
278346,1,1,1,9,0,1,2600,124.99,2,1,24,1,5,1,0,0,3,1,0.013801613
4041863,1,1,1,5,1,0,2700,0,0,1,43,0,3,1,0,0,0,0,0.013819184
366534,1,1,0,5,0,0,2700,0,2,1,0,0,3,1,2,0,0,0,0.013825567
216647,1,1,1,9,0,1,1980,0,1,1,14,0,2,1,0,2,2,0,0.013849299
262121,1,1,1,9,1,0,1300,0,0,1,45,0,2,1,0,0,2,0,0.013876596
287168,1,1,1,9,1,0,7800,0,0,1,28,0,5,1,0,0,4,0,0.013891463
152506,1,1,1,9,1,1,2970,0,0,1,57,1,2,1,0,0,2,1,0.013950635
256148,1,1,1,9,2,0,2340,0,0,1,131,0,1,0,0,0,3,0,0.014182268
4210633,1,1,1,5,1,0,5400,0,0,1,41,1,2,1,0,0,2,1,0.014195132
402449,1,1,1,5,0,0,4730,0,1,1,20,1,5,1,0,0,1,1,0.014221875
4017830,1,1,1,5,2,1,3380,0,1,1,20,0,3,1,1,6,3,0,0.014269472
6600221,1,1,0,1,2,0,1980,0,1,0,37,0,1,0,0,0,3,0,0.014276665
119363,1,1,1,9,0,0,4050,0,0,1,24,0,3,1,0,0,3,0,0.014318284
206692,1,1,1,9,0,0,2340,0,0,1,11,0,2,1,0,0,0,0,0.01433552
234995,1,1,1,9,12,0,2340,0,1,1,7,1,6,1,0,172,15,1,0.014354645
472696,1,1,1,3,0,0,3560,0,0,1,30,1,3,1,0,22,4,1,0.014355861
191171,1,1,1,9,1,0,2340,0,0,1,38,1,2,1,0,0,4,1,0.01436471
380020,1,1,1,9,0,0,3560,0,0,1,23,0,3,1,0,0,1,0,0.014427762
262957,1,1,1,9,0,0,2600,0,0,1,187,0,1,0,0,0,0,0,0.014434855
263815,1,1,1,9,2,0,5940,0,0,1,164,1,2,1,0,1,2,1,0.014451809
191688,1,1,1,9,1,0,2600,0,3,1,29,0,2,1,1,0,0,0,0.014591752
4917658,1,1,1,3,14,0,4680,0,0,1,4,0,8,1,0,27,7,0,0.014651066
223456,1,1,1,9,7,1,1300,0,1,1,24,0,6,1,0,0,9,0,0.014748764
412712,1,1,1,6,2,0,4680,0,0,1,10,0,3,1,0,0,0,0,0.014870529
209607,1,1,1,9,0,0,5070,0,0,1,24,0,2,1,0,0,0,0,0.015016431
287135,1,1,1,9,0,0,1780,0,0,1,21,0,2,1,0,0,0,0,0.015081806
152330,1,1,1,9,11,0,10800,0,0,1,62,1,5,1,0,0,9,1,0.015151108
275882,1,1,1,9,1,0,1300,123.47,0,1,171,1,3,1,0,0,3,1,0.015155855
139834,1,1,1,9,4,0,10080,1148.65,0,1,11,1,5,1,0,68,3,1,0.015169611
409676,1,1,1,4,11,0,3560,0,0,1,35,1,3,1,0,6,11,1,0.015216671
254949,1,1,1,9,6,0,2700,0,0,1,38,0,4,1,0,0,4,0,0.015226099
4226852,1,1,1,5,0,0,2700,0,0,1,26,0,1,0,0,0,1,0,0.015231643
498337,1,1,1,1,0,0,1980,0,0,0,24,0,1,0,0,0,0,0,0.015237677
215206,0,1,0,9,2,1,990,0,1,1,17,0,1,0,0,0,2,0,0.015257657
370230,1,1,1,9,3,0,3960,0,0,1,27,1,4,1,0,0,4,1,0.015350051
4552554,1,1,1,4,0,0,8100,0,0,1,28,1,3,1,0,0,1,1,0.0155325
163737,1,1,1,9,0,0,5400,0,1,1,13,0,1,0,0,0,1,0,0.01553957
267973,1,1,1,9,3,0,2700,0,0,1,1004,1,8,1,0,42,8,1,0.015610838
4220350,1,1,1,5,1,0,4680,0,0,1,386,0,4,1,0,0,6,0,0.015673009
399842,1,1,1,5,1,0,3560,0,1,1,26,0,1,0,0,8,4,0,0.015686058
218627,1,1,1,9,5,2,5400,0,0,1,15,1,10,1,0,0,9,1,0.015721746
107725,1,1,1,9,1,0,10140,0,0,1,8,1,2,1,0,0,3,1,0.015738762
473637,1,1,0,3,0,0,1980,0,0,1,45,0,5,1,0,0,1,0,0.015832156
422678,1,1,0,4,1,1,1780,0,1,1,49,0,2,1,0,0,0,0,0.016009272
430708,0,1,1,9,1,1,1980,0,0,1,85,1,3,1,0,0,3,1,0.016101715
179412,1,1,1,9,2,0,3380,0,0,1,36,0,4,1,0,2,2,0,0.016242298
284495,1,1,1,9,2,0,3900,0,1,1,20,0,3,1,0,0,1,0,0.016345078
367546,1,1,1,9,0,0,1780,0,0,1,2,0,2,1,0,0,0,0,0.016361867
243333,1,1,1,9,3,0,2340,0,0,1,20,0,2,1,0,0,0,0,0.016385999
232036,1,1,1,9,1,0,3900,0,0,1,20,1,2,1,0,0,0,1,0.016391226
178576,1,1,1,9,1,0,1980,0,1,1,0,0,5,1,0,0,0,0,0.016479472
105657,1,1,1,9,11,0,8450,97.36,0,1,4,1,7,1,0,8,11,1,0.016487704
160844,1,1,1,9,2,0,5400,0,1,1,41,0,1,0,0,0,2,0,0.016553173
204932,1,1,1,9,2,0,2700,0,1,1,42,0,2,1,0,0,1,0,0.016555548
100366,1,1,1,9,3,0,3900,0,0,1,23,1,3,1,0,0,4,1,0.016590967
129065,1,1,1,9,4,0,3380,0,1,1,20,0,2,1,0,0,5,0,0.016592999
173527,1,1,1,9,2,0,3560,0,0,1,6,0,2,1,0,0,0,0,0.016642101
127789,1,1,1,9,1,0,11440,0,0,1,20,0,2,1,0,0,5,0,0.01664529
6110825,1,1,1,1,4,0,8450,0,0,0,25,0,5,1,0,29,4,0,0.016657606
156862,1,1,0,9,1,0,2340,0,3,1,158,0,2,1,1,0,2,0,0.016682898
4216598,1,1,1,5,8,0,2340,0,0,1,25,1,3,1,0,0,9,1,0.016755168
195417,1,1,1,9,4,0,2700,0,0,1,97,1,2,1,0,0,2,1,0.016791923
192909,1,1,1,9,7,0,2700,0,0,1,28,1,4,1,0,0,6,1,0.016792065
236062,1,1,1,9,4,0,2340,0,1,1,29,0,4,1,1,0,3,0,0.01680093
379943,1,1,1,7,5,0,1780,0,1,1,14,1,5,1,0,4,6,1,0.016937082
238504,1,1,1,9,0,0,4680,0,0,1,44,1,5,1,0,0,1,1,0.017044558
421699,1,1,1,6,4,0,4680,0,0,1,7,1,6,1,0,23,7,1,0.017123641
